Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
3/25/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/26/2023,AQS,80050006,1,0.055,ppm,51,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/27/2023,AQS,80050006,1,0.052,ppm,48,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/28/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/29/2023,AQS,80050006,1,0.044,ppm,41,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/30/2023,AQS,80050006,1,0.059,ppm,64,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
3/31/2023,AQS,80050006,1,0.051,ppm,47,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/1/2023,AQS,80050006,1,0.053,ppm,49,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/2/2023,AQS,80050006,1,0.057,ppm,58,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/3/2023,AQS,80050006,1,0.048,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/4/2023,AQS,80050006,1,0.044,ppm,41,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/5/2023,AQS,80050006,1,0.048,ppm,44,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/6/2023,AQS,80050006,1,0.056,ppm,54,Aurora East,17,100,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
4/10/2023,AQS,80050006,1,0.058,ppm,61,Aurora East,16,94,44201,Ozone,87,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,5,Arapahoe,39.638522,-104.569335
